Character	Modifier	Context
John Thorpe	fellow	Catherine was the immediate object of his gallantry ; and , while they waited in the lobby for a chair , he prevented the inquiry which had travelled from her heart almost to the tip of her tongue , by asking , in a consequential manner , whether she had seen him talking with General Tilney : “ He is a fine old fellow , upon my soul ! 
James Morland	angry	Even James was quite angry . 
James Morland	patron	A living , of which Mr. Morland was himself patron and incumbent , of about four hundred pounds yearly value , was to be resigned to his son as soon as he should be old enough to take it ; no trifling deduction from the family income , no niggardly assignment to one of ten children . 
James Morland	incumbent	A living , of which Mr. Morland was himself patron and incumbent , of about four hundred pounds yearly value , was to be resigned to his son as soon as he should be old enough to take it ; no trifling deduction from the family income , no niggardly assignment to one of ten children . 
James Morland	old	A living , of which Mr. Morland was himself patron and incumbent , of about four hundred pounds yearly value , was to be resigned to his son as soon as he should be old enough to take it ; no trifling deduction from the family income , no niggardly assignment to one of ten children . 
James Morland	man	If he finds he _ can _ do more by and by , I dare say he will , for I am sure he must be an excellent good - hearted man . 
James Morland	man	I always heard he was a most excellent man ; and you know , my dear , we are not to suppose but what , if you had had a suitable fortune , he would have come down with something more , for I am sure he must be a most liberal - minded man . ” 
James Morland	man	I always heard he was a most excellent man ; and you know , my dear , we are not to suppose but what , if you had had a suitable fortune , he would have come down with something more , for I am sure he must be a most liberal - minded man . ” 
James Morland	sufferer	James was the sufferer . 
James Morland	unhappy	poor James is so unhappy ! 
James Morland	man	Just at present it comes hard to poor James ; but that will not last forever ; and I dare say he will be a discreeter man all his life , for the foolishness of his first choice . 
Eleanor Tilney	ready	Eleanor was ready to oblige her ; and Catherine reminding her as they went of another promise , their first visit in consequence was to the portrait in her bed - chamber . 
Eleanor Tilney	glad	In such considerations time passed away , and it was certainly in his favour that Eleanor should be so glad to see him , and have so much to say , for half an hour was almost gone since his arrival , and Eleanor did not come up . At that moment Catherine thought she heard her step in the gallery , and listened for its continuance ; but all was silent . 
Eleanor Tilney	sure	“ You are too good , I am sure , to think the worse of me for the part I am obliged to perform . 
Eleanor Tilney	sure	“ No , Eleanor , if you are not allowed to receive a letter from me , I am sure I had better not write . 
Eleanor Tilney	angry	“ Oh , do not say Miss Tilney was not angry , ” cried Catherine , “ because I know she was ; for she would not see me this morning when I called ; I saw her walk out of the house the next minute after my leaving it ; I was hurt , but I was not affronted . 
Eleanor Tilney	glad	“ I am very glad to hear it indeed , and now I shall never be ashamed of liking Udolpho myself . 
Eleanor Tilney	ashamed	“ I am very glad to hear it indeed , and now I shall never be ashamed of liking Udolpho myself . 
Eleanor Tilney	afraid	I had entered on my studies at Oxford , while you were a good little girl working your sampler at home ! ” “ Not very good , I am afraid . 
Eleanor Tilney	fond	I am fond of history — and am very well contented to take the false with the true . 
Eleanor Tilney	happy	” “ I shall be most happy to make her better acquainted with them . ” 
Eleanor Tilney	earnest	Miss Tilney was earnest , though gentle , in her secondary civilities , and the affair became in a few minutes as nearly settled as this necessary reference to Fullerton would allow . 
Eleanor Tilney	right	Tilney says there is nothing people are so often deceived in as the state of their own affections , and I believe he is very right . 
Eleanor Tilney	anxious	There was yet another point which Miss Tilney was anxious to settle , though somewhat embarrassed in speaking of . 
Mrs. Thorpe	widow	Mrs. Thorpe was a widow , and not a very rich one ; she was a good - humoured , well - meaning woman , and a very indulgent mother . 
Mrs. Thorpe	one	Mrs. Thorpe was a widow , and not a very rich one ; she was a good - humoured , well - meaning woman , and a very indulgent mother . 
Mrs. Thorpe	woman	Mrs. Thorpe was a widow , and not a very rich one ; she was a good - humoured , well - meaning woman , and a very indulgent mother . 
Mrs. Thorpe	mother	Mrs. Thorpe was a widow , and not a very rich one ; she was a good - humoured , well - meaning woman , and a very indulgent mother . 
Mrs. Thorpe	glad	They were changed into , “ How glad I am we have met with Mrs. Thorpe ! ” and she was as eager in promoting the intercourse of the two families , as her young charge and Isabella themselves could be ; never satisfied with the day unless she spent the chief of it by the side of Mrs. Thorpe , in what they called conversation , but in which there was scarcely ever any exchange of opinion , and not often any resemblance of subject , for Mrs. Thorpe talked chiefly of her children , and Mrs. Allen of her gowns . 
Mrs. Thorpe	eager	They were changed into , “ How glad I am we have met with Mrs. Thorpe ! ” and she was as eager in promoting the intercourse of the two families , as her young charge and Isabella themselves could be ; never satisfied with the day unless she spent the chief of it by the side of Mrs. Thorpe , in what they called conversation , but in which there was scarcely ever any exchange of opinion , and not often any resemblance of subject , for Mrs. Thorpe talked chiefly of her children , and Mrs. Allen of her gowns . 
Mrs. Thorpe	glad	“ I am very glad to hear you say so ; she is just the kind of young woman I could wish to see you attached to ; she has so much good sense , and is so thoroughly unaffected and amiable ; I always wanted you to know her ; and she seems very fond of you . 
Mrs. Thorpe	sure	“ I beg your pardon , Miss Morland , ” said she , “ for this liberty — but I can not anyhow get to Miss Thorpe , and Mrs. Thorpe said she was sure you would not have the least objection to letting in this young lady by you . ” 
Mrs. Thorpe	glad	“ I am glad of it . 
Mrs. Thorpe	pleased	“ So Mrs. Thorpe said ; she was vastly pleased at your all going . ” 
Mrs. Thorpe	indulgent	Mrs. Thorpe is too indulgent beyond a doubt ; but , however , you had better not interfere . 
Mrs. Thorpe	sure	If he finds he _ can _ do more by and by , I dare say he will , for I am sure he must be an excellent good - hearted man . 
Mrs. Thorpe	sure	I always heard he was a most excellent man ; and you know , my dear , we are not to suppose but what , if you had had a suitable fortune , he would have come down with something more , for I am sure he must be a most liberal - minded man . ” 
Mrs. Thorpe	sure	“ Nobody can think better of Mr. Morland than I do , I am sure . 
Frederick Tilney	jealous	He might be jealous of her brother as a rival , but if more had seemed implied , the fault must have been in her misapprehension . 
Frederick Tilney	safe	Is he safe only in solitude ? 
Frederick Tilney	man	Frederick will not be the first man who has chosen a wife with less sense than his family expected . 
Frederick Tilney	deceased	he is a deceased man — defunct in understanding . 
Frederick Tilney	last	Anne Mitchell had tried to put on a turban like mine , as I wore it the week before at the Concert , but made wretched work of it — it happened to become my odd face , I believe , at least Tilney told me so at the time , and said every eye was upon me ; but he is the last man whose word I would take . 
Frederick Tilney	man	Anne Mitchell had tried to put on a turban like mine , as I wore it the week before at the Concert , but made wretched work of it — it happened to become my odd face , I believe , at least Tilney told me so at the time , and said every eye was upon me ; but he is the last man whose word I would take . 
Frederick Tilney	ashamed	She trusted he would never speak of Miss Thorpe ; and indeed , as he must by this time be ashamed of the part he had acted 
Mrs. Allen	afraid	Somebody gave me a push that has hurt it , I am afraid . ” 
Mrs. Allen	sure	But , dear Mrs. Allen , are you sure there is nobody you know in all this multitude of people ? 
Mrs. Allen	satisfied	Mrs. Allen was now quite happy — quite satisfied with Bath . 
Mrs. Allen	sure	I tell Mr. Allen , when he talks of being sick of it , that I am sure he should not complain , for it is so very agreeable a place , that it is much better to be here than at home at this dull time of year . 
Mrs. Allen	inattentive	Mrs. Allen was not inattentive to it : “ Well , my dear , ” said she , “ suppose you go . ” 
Mrs. Morland	woman	Mrs. Morland was a very good woman , and wished to see her children everything they ought to be ; but her time was so much occupied in lying - in and teaching the little ones , that her elder daughters were inevitably left to shift for themselves ; and it was not very wonderful that Catherine , who had by nature nothing heroic about her , should prefer cricket , baseball , riding on horseback , and running about the country at the age of fourteen , to books — or at least books of information — for , provided that nothing like useful knowledge could be gained from them , provided they were all story and no reflection , she had never any objection to books at all . 
Mrs. Morland	choice	The air of a gentlewoman , a great deal of quiet , inactive good temper , and a trifling turn of mind were all that could account for her being the choice of a sensible , intelligent man like Mr. Allen . 
Mrs. Morland	sorry	“ I am sorry for the young people , ” returned Mrs. Morland ; “ they must have a sad time of it ; but as for anything else , it is no matter now ; Catherine is safe at home , and our comfort does not depend upon General 
Mrs. Morland	sorry	I am sorry it happens so , for Mrs. Allen thought them very pretty kind of young people ; and you were sadly out of luck too in your Isabella . 
Mrs. Morland	happy	Mrs. Morland was not happy in her attempt at consolation . 
Mrs. Morland	creature	and it is a great comfort to find that she is not a poor helpless creature , but can shift very well for herself . ” Mr. Allen expressed himself on the occasion with the reasonable resentment of a sensible friend ; and Mrs. Allen thought his expressions quite good enough to be immediately made use of again by herself . 
Mrs. Morland	disposed	Far from comprehending him or his sister in their father ’s misconduct , Mrs. Morland had been always kindly disposed towards each , and instantly , pleased by his appearance , received him with the simple professions of unaffected benevolence ; thanking him for such an attention to her daughter , assuring him that the friends of her children were always welcome there , and entreating him to say not another word of the past . 
Mr. Allen	comfort	You must be a great comfort to your sister , sir . ” 
Mr. Allen	glad	At the head of them she was met by Mr. Allen , who , on hearing the reason of their speedy return , said , “ I am glad your brother had so much sense ; I am glad you are come back . 
Mr. Allen	glad	At the head of them she was met by Mr. Allen , who , on hearing the reason of their speedy return , said , “ I am glad your brother had so much sense ; I am glad you are come back . 
Mr. Allen	glad	“ No , certainly not ; and I am glad you do not think of it . 
Mr. Allen	glad	I am glad you do not think of going ; I am sure Mrs. Morland would not be pleased . 
Mr. Allen	sure	I am glad you do not think of going ; I am sure Mrs. Morland would not be pleased . 
Mr. Allen	rich	A silence of several minutes succeeded their first short dialogue ; it was broken by Thorpe ’s saying very abruptly , “ Old Allen is as rich as a Jew — is not he ? ” 
Mr. Allen	rich	Yes , I believe , he is very rich . ” 
Mr. Allen	godfather	He is _ your _ godfather , is not he ? ” 
Mr. Allen	gouty	He seems a good kind of old fellow enough , and has lived very well in his time , I dare say ; he is not gouty for nothing . 
