Character	Role	Event	Context
Anne Elliot	agent	felt	The Miss Hayters , the females of the family of cousins already mentioned , were apparently admitted to the honour of being in love with him ; and as for Henrietta and Louisa , they both seemed so entirely occupied by him , that nothing but the continued appearance of the most perfect good - will between themselves could have made it credible that they were not decided rivals . If he were a little spoilt by such universal , such eager admiration , who could wonder ? These were some of the thoughts which occupied Anne , while her fingers were mechanically at work , proceeding for half an hour together , equally without error , and without consciousness . Once she felt that he was looking at herself , observing her altered features , perhaps , trying to trace in them the ruins of the face which had once charmed him ; and once she knew that he must have spoken of her ; she was hardly aware of it , till she heard the answer ; but then she was sure of his having asked his partner whether Miss Elliot never danced ? 
Anne Elliot	agent	knew	The Miss Hayters , the females of the family of cousins already mentioned , were apparently admitted to the honour of being in love with him ; and as for Henrietta and Louisa , they both seemed so entirely occupied by him , that nothing but the continued appearance of the most perfect good - will between themselves could have made it credible that they were not decided rivals . If he were a little spoilt by such universal , such eager admiration , who could wonder ? These were some of the thoughts which occupied Anne , while her fingers were mechanically at work , proceeding for half an hour together , equally without error , and without consciousness . Once she felt that he was looking at herself , observing her altered features , perhaps , trying to trace in them the ruins of the face which had once charmed him ; and once she knew that he must have spoken of her ; she was hardly aware of it , till she heard the answer ; but then she was sure of his having asked his partner whether Miss Elliot never danced ? 
Anne Elliot	agent	heard	The Miss Hayters , the females of the family of cousins already mentioned , were apparently admitted to the honour of being in love with him ; and as for Henrietta and Louisa , they both seemed so entirely occupied by him , that nothing but the continued appearance of the most perfect good - will between themselves could have made it credible that they were not decided rivals . If he were a little spoilt by such universal , such eager admiration , who could wonder ? These were some of the thoughts which occupied Anne , while her fingers were mechanically at work , proceeding for half an hour together , equally without error , and without consciousness . Once she felt that he was looking at herself , observing her altered features , perhaps , trying to trace in them the ruins of the face which had once charmed him ; and once she knew that he must have spoken of her ; she was hardly aware of it , till she heard the answer ; but then she was sure of his having asked his partner whether Miss Elliot never danced ? 
Anne Elliot	agent	danced	The Miss Hayters , the females of the family of cousins already mentioned , were apparently admitted to the honour of being in love with him ; and as for Henrietta and Louisa , they both seemed so entirely occupied by him , that nothing but the continued appearance of the most perfect good - will between themselves could have made it credible that they were not decided rivals . If he were a little spoilt by such universal , such eager admiration , who could wonder ? These were some of the thoughts which occupied Anne , while her fingers were mechanically at work , proceeding for half an hour together , equally without error , and without consciousness . Once she felt that he was looking at herself , observing her altered features , perhaps , trying to trace in them the ruins of the face which had once charmed him ; and once she knew that he must have spoken of her ; she was hardly aware of it , till she heard the answer ; but then she was sure of his having asked his partner whether Miss Elliot never danced ? 
Anne Elliot	agent	given	"The answer was , "" Oh , no ; never ; she has quite given up dancing . "
Anne Elliot	agent	play	She had rather play . 
Anne Elliot	agent	left	She had left the instrument on the dancing being over , and he had sat down to try to make out an air which he wished to give the Miss Musgroves an idea of . 
Anne Elliot	agent	sat	She had left the instrument on the dancing being over , and he had sat down to try to make out an air which he wished to give the Miss Musgroves an idea of . 
Anne Elliot	agent	returned	"Unintentionally she returned to that part of the room ; he saw her , and , instantly rising , said , with studied politeness-- "" I beg your pardon , madam , this is your seat ; "" and though she immediately drew back with a decided negative , he was not to be induced to sit down again . Anne did not wish for more of such looks and speeches . "
Anne Elliot	agent	beg	"Unintentionally she returned to that part of the room ; he saw her , and , instantly rising , said , with studied politeness-- "" I beg your pardon , madam , this is your seat ; "" and though she immediately drew back with a decided negative , he was not to be induced to sit down again . Anne did not wish for more of such looks and speeches . "
Anne Elliot	agent	wish	"Unintentionally she returned to that part of the room ; he saw her , and , instantly rising , said , with studied politeness-- "" I beg your pardon , madam , this is your seat ; "" and though she immediately drew back with a decided negative , he was not to be induced to sit down again . Anne did not wish for more of such looks and speeches . "
Anne Elliot	agent	had	"Mr and Mrs Musgrove , either from seeing little , or from an entire confidence in the discretion of both their daughters , and of all the young men who came near them , seemed to leave everything to take its chance . There was not the smallest appearance of solicitude or remark about them in the Mansion - house ; but it was different at the Cottage : the young couple there were more disposed to speculate and wonder ; and Captain Wentworth had not been above four or five times in the Miss Musgroves ' company , and Charles Hayter had but just reappeared , when Anne had to listen to the opinions of her brother and sister , as to which was the one liked best . Charles gave it for Louisa , Mary for Henrietta , but quite agreeing that to have him marry either could be extremely delightful . Charles "" had never seen a pleasanter man in his life ; and from what he had once heard Captain Wentworth himself say , was very sure that he had not made less than twenty thousand pounds by the war . "
Anne Elliot	agent	decided	"I wish you had been with us yesterday , for then you might have decided between us ; and I am sure you would have thought as I did , unless you had been determined to give it against me . "" A dinner at Mr Musgrove 's had been the occasion when all these things should have been seen by Anne ; but she had staid at home , under the mixed plea of a headache of her own , and some return of indisposition in little Charles . She had thought only of avoiding Captain Wentworth ; but an escape from being appealed to as umpire was now added to the advantages of a quiet evening . "
Anne Elliot	agent	seen	"I wish you had been with us yesterday , for then you might have decided between us ; and I am sure you would have thought as I did , unless you had been determined to give it against me . "" A dinner at Mr Musgrove 's had been the occasion when all these things should have been seen by Anne ; but she had staid at home , under the mixed plea of a headache of her own , and some return of indisposition in little Charles . She had thought only of avoiding Captain Wentworth ; but an escape from being appealed to as umpire was now added to the advantages of a quiet evening . "
Anne Elliot	agent	staid	"I wish you had been with us yesterday , for then you might have decided between us ; and I am sure you would have thought as I did , unless you had been determined to give it against me . "" A dinner at Mr Musgrove 's had been the occasion when all these things should have been seen by Anne ; but she had staid at home , under the mixed plea of a headache of her own , and some return of indisposition in little Charles . She had thought only of avoiding Captain Wentworth ; but an escape from being appealed to as umpire was now added to the advantages of a quiet evening . "
Anne Elliot	agent	thought	"I wish you had been with us yesterday , for then you might have decided between us ; and I am sure you would have thought as I did , unless you had been determined to give it against me . "" A dinner at Mr Musgrove 's had been the occasion when all these things should have been seen by Anne ; but she had staid at home , under the mixed plea of a headache of her own , and some return of indisposition in little Charles . She had thought only of avoiding Captain Wentworth ; but an escape from being appealed to as umpire was now added to the advantages of a quiet evening . "
Anne Elliot	agent	deemed	As to Captain Wentworth 's views , she deemed it of more consequence that he should know his own mind early enough not to be endangering the happiness of either sister , or impeaching his own honour , than that he should prefer Henrietta to Louisa , or Louisa to Henrietta . Either of them would , in all probability , make him an affectionate , good - humoured wife . 
Anne Elliot	agent	had	With regard to Charles Hayter , she had delicacy which must be pained by any lightness of conduct in a well - meaning young woman , and a heart to sympathize in any of the sufferings it occasioned ; but if Henrietta found herself mistaken in the nature of her feelings , the alternation could not be understood too soon . Charles Hayter had met with much to disquiet and mortify him in his cousin 's behaviour . She had too old a regard for him to be so wholly estranged as might in two meetings extinguish every past hope , and leave him nothing to do but to keep away from Uppercross : but there was such a change as became very alarming , when such a man as Captain Wentworth was to be regarded as the probable cause . 
Anne Elliot	agent	had	With regard to Charles Hayter , she had delicacy which must be pained by any lightness of conduct in a well - meaning young woman , and a heart to sympathize in any of the sufferings it occasioned ; but if Henrietta found herself mistaken in the nature of her feelings , the alternation could not be understood too soon . Charles Hayter had met with much to disquiet and mortify him in his cousin 's behaviour . She had too old a regard for him to be so wholly estranged as might in two meetings extinguish every past hope , and leave him nothing to do but to keep away from Uppercross : but there was such a change as became very alarming , when such a man as Captain Wentworth was to be regarded as the probable cause . 
Anne Elliot	agent	say	"The surprise of finding himself almost alone with Anne Elliot , deprived his manners of their usual composure : he started , and could only say , "" I thought the Miss Musgroves had been here : Mrs Musgrove told me I should find them here , "" before he walked to the window to recollect himself , and feel how he ought to behave . "" They are up stairs with my sister : they will be down in a few moments , I dare say , "" had been Anne 's reply , in all the confusion that was natural ; and if the child had not called her to come and do something for him , she would have been out of the room the next moment , and released Captain Wentworth as well as herself . "
Anne Elliot	agent	heard	She was obliged to kneel down by the sofa , and remain there to satisfy her patient ; and thus they continued a few minutes , when , to her very great satisfaction , she heard some other person crossing the little vestibule . 
Anne Elliot	agent	hoped	She hoped , on turning her head , to see the master of the house ; but it proved to be one much less calculated for making matters easy -- Charles Hayter , probably not at all better pleased by the sight of Captain Wentworth than Captain Wentworth had been by the sight of Anne . 
Anne Elliot	agent	proved	She hoped , on turning her head , to see the master of the house ; but it proved to be one much less calculated for making matters easy -- Charles Hayter , probably not at all better pleased by the sight of Captain Wentworth than Captain Wentworth had been by the sight of Anne . 
Anne Elliot	agent	attempted	"She only attempted to say , "" How do you do ? "
Anne Elliot	agent	longed	Anne longed for the power of representing to them all what they were about , and of pointing out some of the evils they were exposing themselves to . 
Anne Elliot	agent	attribute	She did not attribute guile to any . It was the highest satisfaction to her to believe Captain Wentworth not in the least aware of the pain he was occasioning . 
Anne Elliot	agent	feel	It was Mary 's hope and belief that he had received a positive dismissal from Henrietta , and her husband lived under the constant dependence of seeing him to - morrow . Anne could only feel that Charles Hayter was wise . 
Anne Elliot	agent	persuaded	"It was a very fine November day , and the Miss Musgroves came through the little grounds , and stopped for no other purpose than to say , that they were going to take a long walk , and therefore concluded Mary could not like to go with them ; and when Mary immediately replied , with some jealousy at not being supposed a good walker , "" Oh , yes , I should like to join you very much , I am very fond of a long walk ; "" Anne felt persuaded , by the looks of the two girls , that it was precisely what they did not wish , and admired again the sort of necessity which the family habits seemed to produce , of everything being to be communicated , and everything being to be done together , however undesired and inconvenient . "
Anne Elliot	agent	admired	"It was a very fine November day , and the Miss Musgroves came through the little grounds , and stopped for no other purpose than to say , that they were going to take a long walk , and therefore concluded Mary could not like to go with them ; and when Mary immediately replied , with some jealousy at not being supposed a good walker , "" Oh , yes , I should like to join you very much , I am very fond of a long walk ; "" Anne felt persuaded , by the looks of the two girls , that it was precisely what they did not wish , and admired again the sort of necessity which the family habits seemed to produce , of everything being to be communicated , and everything being to be done together , however undesired and inconvenient . "
Anne Elliot	agent	seemed	"It was a very fine November day , and the Miss Musgroves came through the little grounds , and stopped for no other purpose than to say , that they were going to take a long walk , and therefore concluded Mary could not like to go with them ; and when Mary immediately replied , with some jealousy at not being supposed a good walker , "" Oh , yes , I should like to join you very much , I am very fond of a long walk ; "" Anne felt persuaded , by the looks of the two girls , that it was precisely what they did not wish , and admired again the sort of necessity which the family habits seemed to produce , of everything being to be communicated , and everything being to be done together , however undesired and inconvenient . "
Anne Elliot	agent	tried	She tried to dissuade Mary from going , but in vain ; and that being the case , thought it best to accept the Miss Musgroves ' much more cordial invitation to herself to go likewise , as she might be useful in turning back with her sister , and lessening the interference in any plan of their own . 
Anne Elliot	agent	thought	She tried to dissuade Mary from going , but in vain ; and that being the case , thought it best to accept the Miss Musgroves ' much more cordial invitation to herself to go likewise , as she might be useful in turning back with her sister , and lessening the interference in any plan of their own . 
Anne Elliot	agent	staid	Could Anne have foreseen such a junction , she would have staid at home ; but , from some feelings of interest and curiosity , she fancied now that it was too late to retract , and the whole six set forward together in the direction chosen by the Miss Musgroves , who evidently considered the walk as under their guidance . 
Anne Elliot	agent	fancied	Could Anne have foreseen such a junction , she would have staid at home ; but , from some feelings of interest and curiosity , she fancied now that it was too late to retract , and the whole six set forward together in the direction chosen by the Miss Musgroves , who evidently considered the walk as under their guidance . 
Anne Elliot	agent	occupied	She occupied her mind as much as possible in such like musings and quotations ; but it was not possible , that when within reach of Captain Wentworth 's conversation with either of the Miss Musgroves , she should not try to hear it ; yet she caught little very remarkable . 
Anne Elliot	agent	try	She occupied her mind as much as possible in such like musings and quotations ; but it was not possible , that when within reach of Captain Wentworth 's conversation with either of the Miss Musgroves , she should not try to hear it ; yet she caught little very remarkable . 
Anne Elliot	agent	caught	She occupied her mind as much as possible in such like musings and quotations ; but it was not possible , that when within reach of Captain Wentworth 's conversation with either of the Miss Musgroves , she should not try to hear it ; yet she caught little very remarkable . 
Anne Elliot	agent	Had	"You make the most of it , I know , "" cried Louisa , "" but if it were really so , I should do just the same in her place . If I loved a man , as she loves the Admiral , I would always be with him , nothing should ever separate us , and I would rather be overturned by him , than driven safely by anybody else . "" It was spoken with enthusiasm . "" Had you ? "" cried he , catching the same tone ; "" I honour you ! "" "
Anne Elliot	agent	fall	Anne could not immediately fall into a quotation again . 
Anne Elliot	agent	roused	"The sweet scenes of autumn were for a while put by , unless some tender sonnet , fraught with the apt analogy of the declining year , with declining happiness , and the images of youth and hope , and spring , all gone together , blessed her memory . She roused herself to say , as they struck by order into another path , "" Is not this one of the ways to Winthrop ? "
Anne Elliot	agent	found	Anne found a nice seat for her , on a dry sunny bank , under the hedge - row , in which she had no doubt of their still being , in some spot or other . 
Anne Elliot	agent	heard	Anne , really tired herself , was glad to sit down ; and she very soon heard Captain Wentworth and Louisa in the hedge - row , behind her , as if making their way back along the rough , wild sort of channel , down the centre . 
Anne Elliot	agent	heard	"What Anne first heard was-- "" And so , I made her go . I could not bear that she should be frightened from the visit by such nonsense . What ! "
Anne Elliot	agent	refused	"After a moment 's pause , Captain Wentworth said-- "" Do you mean that she refused him ? "" "
Anne Elliot	agent	did	I wish she had accepted him . We should all have liked her a great deal better ; and papa and mamma always think it was her great friend Lady Russell 's doing , that she did not . 
Anne Elliot	agent	persuaded	"They think Charles might not be learned and bookish enough to please Lady Russell , and that therefore , she persuaded Anne to refuse him . "" The sounds were retreating , and Anne distinguished no more . "
Anne Elliot	agent	distinguished	"They think Charles might not be learned and bookish enough to please Lady Russell , and that therefore , she persuaded Anne to refuse him . "" The sounds were retreating , and Anne distinguished no more . "
Anne Elliot	agent	had	She had much to recover from , before she could move . 
Anne Elliot	agent	move	She had much to recover from , before she could move . 
Anne Elliot	agent	heard	The listener 's proverbial fate was not absolutely hers ; she had heard no evil of herself , but she had heard a great deal of very painful import . 
Anne Elliot	agent	heard	The listener 's proverbial fate was not absolutely hers ; she had heard no evil of herself , but she had heard a great deal of very painful import . 
Anne Elliot	agent	heard	The listener 's proverbial fate was not absolutely hers ; she had heard no evil of herself , but she had heard a great deal of very painful import . 
Anne Elliot	agent	saw	She saw how her own character was considered by Captain Wentworth , and there had been just that degree of feeling and curiosity about her in his manner which must give her extreme agitation . 
Anne Elliot	agent	went	As soon as she could , she went after Mary , and having found , and walked back with her to their former station , by the stile , felt some comfort in their whole party being immediately afterwards collected , and once more in motion together . 
Anne Elliot	agent	found	As soon as she could , she went after Mary , and having found , and walked back with her to their former station , by the stile , felt some comfort in their whole party being immediately afterwards collected , and once more in motion together . 
Anne Elliot	agent	felt	As soon as she could , she went after Mary , and having found , and walked back with her to their former station , by the stile , felt some comfort in their whole party being immediately afterwards collected , and once more in motion together . 
Anne Elliot	agent	belonged	In a long strip of meadow land , where there was ample space for all , they were thus divided , forming three distinct parties ; and to that party of the three which boasted least animation , and least complaisance , Anne necessarily belonged . 
Anne Elliot	agent	joined	She joined Charles and Mary , and was tired enough to be very glad of Charles 's other arm ; but Charles , though in very good humour with her , was out of temper with his wife . 
Anne Elliot	agent	suspect	""" "" Very good humoured , unaffected girls , indeed , "" said Mrs Croft , in a tone of calmer praise , such as made Anne suspect that her keener powers might not consider either of them as quite worthy of her brother ; "" and a very respectable family . "
Anne Elliot	agent	imagined	""" But by coolly giving the reins a better direction herself they happily passed the danger ; and by once afterwards judiciously putting out her hand they neither fell into a rut , nor ran foul of a dung - cart ; and Anne , with some amusement at their style of driving , which she imagined no bad representation of the general guidance of their affairs "
Anne Elliot	agent	deposited	, found herself safely deposited by them at the Cottage . 
Anne Elliot	agent	believed	This was against her ; but on the other hand , he spent so much of his time at Uppercross , that in removing thence she might be considered rather as leaving him behind , than as going towards him ; and , upon the whole , she believed she must , on this interesting question , be the gainer , almost as certainly as in her change of domestic society , in leaving poor Mary for Lady Russell 
Anne Elliot	agent	wished	She wished it might be possible for her to avoid ever seeing Captain Wentworth at the Hall : those rooms had witnessed former meetings which would be brought too painfully before her ; but she was yet more anxious for the possibility of Lady Russell and Captain Wentworth never meeting anywhere . 
Anne Elliot	agent	avoid	She wished it might be possible for her to avoid ever seeing Captain Wentworth at the Hall : those rooms had witnessed former meetings which would be brought too painfully before her ; but she was yet more anxious for the possibility of Lady Russell and Captain Wentworth never meeting anywhere . 
Anne Elliot	agent	think	They did not like each other , and no renewal of acquaintance now could do any good ; and were Lady Russell to see them together , she might think that he had too much self - possession , and she too little . These points formed her chief solicitude in anticipating her removal from Uppercross , where she felt she had been stationed quite long enough . 
Anne Elliot	agent	felt	They did not like each other , and no renewal of acquaintance now could do any good ; and were Lady Russell to see them together , she might think that he had too much self - possession , and she too little . These points formed her chief solicitude in anticipating her removal from Uppercross , where she felt she had been stationed quite long enough . 
Anne Elliot	agent	had	but he was gaining strength apace , and she had nothing else to stay for . 
Anne Elliot	agent	imagined	The conclusion of her visit , however , was diversified in a way which she had not at all imagined . 
Anne Elliot	agent	said	""" And yet , "" said Anne to herself , as they now moved forward to meet the party , "" he has not , perhaps , a more sorrowing heart than I have . I can not believe his prospects so blighted for ever . "
Anne Elliot	agent	have	""" And yet , "" said Anne to herself , as they now moved forward to meet the party , "" he has not , perhaps , a more sorrowing heart than I have . I can not believe his prospects so blighted for ever . "
Anne Elliot	agent	believe	""" And yet , "" said Anne to herself , as they now moved forward to meet the party , "" he has not , perhaps , a more sorrowing heart than I have . I can not believe his prospects so blighted for ever . "
Anne Elliot	agent	felt	There was so much attachment to Captain Wentworth in all this , and such a bewitching charm in a degree of hospitality so uncommon , so unlike the usual style of give - and - take invitations , and dinners of formality and display , that Anne felt her spirits not likely to be benefited by an increasing acquaintance among his brother - officers . 
Anne Elliot	agent	had	and she had to struggle against a great tendency to lowness . 
Anne Elliot	agent	had	On quitting the Cobb , they all went in - doors with their new friends , and found rooms so small as none but those who invite from the heart could think capable of accommodating so many . Anne had a moment 's astonishment on the subject herself ; but it was soon lost in the pleasanter feelings which sprang from the sight of all the ingenious contrivances and nice arrangements of Captain Harville , to turn the actual space to the best account , to supply the deficiencies of lodging - house furniture , and defend the windows and doors against the winter storms to be expected . 
Anne Elliot	agent	lost	On quitting the Cobb , they all went in - doors with their new friends , and found rooms so small as none but those who invite from the heart could think capable of accommodating so many . Anne had a moment 's astonishment on the subject herself ; but it was soon lost in the pleasanter feelings which sprang from the sight of all the ingenious contrivances and nice arrangements of Captain Harville , to turn the actual space to the best account , to supply the deficiencies of lodging - house furniture , and defend the windows and doors against the winter storms to be expected . 
Anne Elliot	agent	thought	He drew , he varnished , he carpentered , he glued ; he made toys for the children ; he fashioned new netting - needles and pins with improvements ; and if everything else was done , sat down to his large fishing - net at one corner of the room . Anne thought she left great happiness behind her 
Anne Elliot	agent	left	He drew , he varnished , he carpentered , he glued ; he made toys for the children ; he fashioned new netting - needles and pins with improvements ; and if everything else was done , sat down to his large fishing - net at one corner of the room . Anne thought she left great happiness behind her 
Anne Elliot	agent	found	"when they quitted the house ; and Louisa , by whom she found herself walking , burst forth into raptures of admiration and delight on the character of the navy ; their friendliness , their brotherliness , their openness , their uprightness ; protesting that she was convinced of sailors having more worth and warmth than any other set of men in England ; that they only knew how to live , and they only deserved to be respected and loved . They went back to dress and dine ; and so well had the scheme answered already , that nothing was found amiss ; though its being "" so entirely out of season , "" and the "" no thoroughfare of Lyme , "" and the "" no expectation of company , "" had brought many apologies from the heads of the inn . "
Anne Elliot	agent	walking	"when they quitted the house ; and Louisa , by whom she found herself walking , burst forth into raptures of admiration and delight on the character of the navy ; their friendliness , their brotherliness , their openness , their uprightness ; protesting that she was convinced of sailors having more worth and warmth than any other set of men in England ; that they only knew how to live , and they only deserved to be respected and loved . They went back to dress and dine ; and so well had the scheme answered already , that nothing was found amiss ; though its being "" so entirely out of season , "" and the "" no thoroughfare of Lyme , "" and the "" no expectation of company , "" had brought many apologies from the heads of the inn . "
Anne Elliot	agent	found	Anne found herself by this time growing so much more hardened to being in Captain Wentworth 's company than she had at first imagined could ever be , that the sitting down to the same table with him now , and the interchange of the common civilities attending on it ( they never got beyond ) , was become a mere nothing . 
Anne Elliot	agent	growing	Anne found herself by this time growing so much more hardened to being in Captain Wentworth 's company than she had at first imagined could ever be , that the sitting down to the same table with him now , and the interchange of the common civilities attending on it ( they never got beyond ) , was become a mere nothing . 
Anne Elliot	agent	imagined	Anne found herself by this time growing so much more hardened to being in Captain Wentworth 's company than she had at first imagined could ever be , that the sitting down to the same table with him now , and the interchange of the common civilities attending on it ( they never got beyond ) , was become a mere nothing . 
Anne Elliot	agent	had	He was shy , and disposed to abstraction ; but the engaging mildness of her countenance , and gentleness of her manners , soon had their effect ; and Anne was well repaid the first trouble of exertion . He was evidently a young man of considerable taste in reading , though principally in poetry ; and besides the persuasion of having given him at least an evening 's indulgence in the discussion of subjects , which his usual companions had probably no concern in , she had the hope of being of real use to him in some suggestions as to the duty and benefit of struggling against affliction , which had naturally grown out of their conversation . For , though shy , he did not seem reserved ; it had rather the appearance of feelings glad to burst their usual restraints ; and having talked of poetry , the richness of the present age , and gone through a brief comparison of opinion as to the first - rate poets , trying to ascertain whether Marmion or The Lady of the Lake were to be preferred , and how ranked the Giaour and The Bride of Abydos ; and moreover , how the Giaour was to be pronounced , he showed himself so intimately acquainted with all the tenderest songs of the one poet , and all the impassioned descriptions of hopeless agony of the other ; he repeated , with such tremulous feeling , the various lines which imaged a broken heart , or a mind destroyed by wretchedness , and looked so entirely as if he meant to be understood , that she ventured to hope he did not always read only poetry , and to say , that she thought it was the misfortune of poetry to be seldom safely enjoyed by those who enjoyed it completely ; and that the strong feelings which alone could estimate it truly were the very feelings which ought to taste it but sparingly . His looks shewing him not pained , but pleased with this allusion to his situation , she was emboldened to go on ; and feeling in herself the right of seniority of mind , she ventured to recommend a larger allowance of prose in his daily study ; and on being requested to particularize , mentioned such works of our best moralists , such collections of the finest letters , such memoirs of characters of worth and suffering , as occurred to her at the moment as calculated to rouse and fortify the mind by the highest precepts , and the strongest examples of moral and religious endurances . Captain Benwick listened attentively , and seemed grateful for the interest implied ; and though with a shake of the head , and sighs which declared his little faith in the efficacy of any books on grief like his , noted down the names of those she recommended , and promised to procure and read them 
Anne Elliot	agent	ventured	He was shy , and disposed to abstraction ; but the engaging mildness of her countenance , and gentleness of her manners , soon had their effect ; and Anne was well repaid the first trouble of exertion . He was evidently a young man of considerable taste in reading , though principally in poetry ; and besides the persuasion of having given him at least an evening 's indulgence in the discussion of subjects , which his usual companions had probably no concern in , she had the hope of being of real use to him in some suggestions as to the duty and benefit of struggling against affliction , which had naturally grown out of their conversation . For , though shy , he did not seem reserved ; it had rather the appearance of feelings glad to burst their usual restraints ; and having talked of poetry , the richness of the present age , and gone through a brief comparison of opinion as to the first - rate poets , trying to ascertain whether Marmion or The Lady of the Lake were to be preferred , and how ranked the Giaour and The Bride of Abydos ; and moreover , how the Giaour was to be pronounced , he showed himself so intimately acquainted with all the tenderest songs of the one poet , and all the impassioned descriptions of hopeless agony of the other ; he repeated , with such tremulous feeling , the various lines which imaged a broken heart , or a mind destroyed by wretchedness , and looked so entirely as if he meant to be understood , that she ventured to hope he did not always read only poetry , and to say , that she thought it was the misfortune of poetry to be seldom safely enjoyed by those who enjoyed it completely ; and that the strong feelings which alone could estimate it truly were the very feelings which ought to taste it but sparingly . His looks shewing him not pained , but pleased with this allusion to his situation , she was emboldened to go on ; and feeling in herself the right of seniority of mind , she ventured to recommend a larger allowance of prose in his daily study ; and on being requested to particularize , mentioned such works of our best moralists , such collections of the finest letters , such memoirs of characters of worth and suffering , as occurred to her at the moment as calculated to rouse and fortify the mind by the highest precepts , and the strongest examples of moral and religious endurances . Captain Benwick listened attentively , and seemed grateful for the interest implied ; and though with a shake of the head , and sighs which declared his little faith in the efficacy of any books on grief like his , noted down the names of those she recommended , and promised to procure and read them 
Anne Elliot	agent	thought	He was shy , and disposed to abstraction ; but the engaging mildness of her countenance , and gentleness of her manners , soon had their effect ; and Anne was well repaid the first trouble of exertion . He was evidently a young man of considerable taste in reading , though principally in poetry ; and besides the persuasion of having given him at least an evening 's indulgence in the discussion of subjects , which his usual companions had probably no concern in , she had the hope of being of real use to him in some suggestions as to the duty and benefit of struggling against affliction , which had naturally grown out of their conversation . For , though shy , he did not seem reserved ; it had rather the appearance of feelings glad to burst their usual restraints ; and having talked of poetry , the richness of the present age , and gone through a brief comparison of opinion as to the first - rate poets , trying to ascertain whether Marmion or The Lady of the Lake were to be preferred , and how ranked the Giaour and The Bride of Abydos ; and moreover , how the Giaour was to be pronounced , he showed himself so intimately acquainted with all the tenderest songs of the one poet , and all the impassioned descriptions of hopeless agony of the other ; he repeated , with such tremulous feeling , the various lines which imaged a broken heart , or a mind destroyed by wretchedness , and looked so entirely as if he meant to be understood , that she ventured to hope he did not always read only poetry , and to say , that she thought it was the misfortune of poetry to be seldom safely enjoyed by those who enjoyed it completely ; and that the strong feelings which alone could estimate it truly were the very feelings which ought to taste it but sparingly . His looks shewing him not pained , but pleased with this allusion to his situation , she was emboldened to go on ; and feeling in herself the right of seniority of mind , she ventured to recommend a larger allowance of prose in his daily study ; and on being requested to particularize , mentioned such works of our best moralists , such collections of the finest letters , such memoirs of characters of worth and suffering , as occurred to her at the moment as calculated to rouse and fortify the mind by the highest precepts , and the strongest examples of moral and religious endurances . Captain Benwick listened attentively , and seemed grateful for the interest implied ; and though with a shake of the head , and sighs which declared his little faith in the efficacy of any books on grief like his , noted down the names of those she recommended , and promised to procure and read them 
Anne Elliot	agent	ventured	He was shy , and disposed to abstraction ; but the engaging mildness of her countenance , and gentleness of her manners , soon had their effect ; and Anne was well repaid the first trouble of exertion . He was evidently a young man of considerable taste in reading , though principally in poetry ; and besides the persuasion of having given him at least an evening 's indulgence in the discussion of subjects , which his usual companions had probably no concern in , she had the hope of being of real use to him in some suggestions as to the duty and benefit of struggling against affliction , which had naturally grown out of their conversation . For , though shy , he did not seem reserved ; it had rather the appearance of feelings glad to burst their usual restraints ; and having talked of poetry , the richness of the present age , and gone through a brief comparison of opinion as to the first - rate poets , trying to ascertain whether Marmion or The Lady of the Lake were to be preferred , and how ranked the Giaour and The Bride of Abydos ; and moreover , how the Giaour was to be pronounced , he showed himself so intimately acquainted with all the tenderest songs of the one poet , and all the impassioned descriptions of hopeless agony of the other ; he repeated , with such tremulous feeling , the various lines which imaged a broken heart , or a mind destroyed by wretchedness , and looked so entirely as if he meant to be understood , that she ventured to hope he did not always read only poetry , and to say , that she thought it was the misfortune of poetry to be seldom safely enjoyed by those who enjoyed it completely ; and that the strong feelings which alone could estimate it truly were the very feelings which ought to taste it but sparingly . His looks shewing him not pained , but pleased with this allusion to his situation , she was emboldened to go on ; and feeling in herself the right of seniority of mind , she ventured to recommend a larger allowance of prose in his daily study ; and on being requested to particularize , mentioned such works of our best moralists , such collections of the finest letters , such memoirs of characters of worth and suffering , as occurred to her at the moment as calculated to rouse and fortify the mind by the highest precepts , and the strongest examples of moral and religious endurances . Captain Benwick listened attentively , and seemed grateful for the interest implied ; and though with a shake of the head , and sighs which declared his little faith in the efficacy of any books on grief like his , noted down the names of those she recommended , and promised to procure and read them 
