Character	Role	Event	Context
Elinor Dashwood	patient	enable	"Colonel Brandon , who was here only ten minutes ago , has desired me to say , that understanding you mean to take orders , he has great pleasure in offering you the living of Delaford now just vacant , and only wishes it were more valuable . Allow me to congratulate you on having so respectable and well - judging a friend , and to join in his wish that the living -- it is about two hundred a - year -- were much more considerable , and such as might better enable you to -- as might be more than a temporary accommodation to yourself -- such , in short , as might establish all your views of happiness . "" What Edward felt , as he could not say it himself , it can not be expected that any one else should say for him . He LOOKED all the astonishment which such unexpected , such unthought - of information could not fail of exciting ; but he said only these two words , "" Colonel Brandon ! "" "" Yes , "" continued Elinor , gathering more resolution , as some of the worst was over , "" Colonel Brandon means it as a testimony of his concern for what has lately passed -- for the cruel situation in which the unjustifiable conduct of your family has placed you -- a concern which I am sure Marianne , myself , and all your friends , must share ; and likewise as a proof of his high esteem for your general character , and his particular approbation of your behaviour on the present occasion . "
Elinor Dashwood	patient	placed	"Colonel Brandon , who was here only ten minutes ago , has desired me to say , that understanding you mean to take orders , he has great pleasure in offering you the living of Delaford now just vacant , and only wishes it were more valuable . Allow me to congratulate you on having so respectable and well - judging a friend , and to join in his wish that the living -- it is about two hundred a - year -- were much more considerable , and such as might better enable you to -- as might be more than a temporary accommodation to yourself -- such , in short , as might establish all your views of happiness . "" What Edward felt , as he could not say it himself , it can not be expected that any one else should say for him . He LOOKED all the astonishment which such unexpected , such unthought - of information could not fail of exciting ; but he said only these two words , "" Colonel Brandon ! "" "" Yes , "" continued Elinor , gathering more resolution , as some of the worst was over , "" Colonel Brandon means it as a testimony of his concern for what has lately passed -- for the cruel situation in which the unjustifiable conduct of your family has placed you -- a concern which I am sure Marianne , myself , and all your friends , must share ; and likewise as a proof of his high esteem for your general character , and his particular approbation of your behaviour on the present occasion . "
Elinor Dashwood	patient	assure	""" The unkindness of your own relations has made you astonished to find friendship any where . "" "" No , "" replied be , with sudden consciousness , "" not to find it in YOU ; for I can not be ignorant that to you , to your goodness , I owe it all.--I feel it -- I would express it if I could -- but , as you well know , I am no orator . "" "" You are very much mistaken . I do assure you that you owe it entirely , at least almost entirely , to your own merit , and Colonel Brandon 's discernment of it . "
Elinor Dashwood	patient	give	So far was she , at the same time , from any backwardness to give Elinor that credit which Edward WOULD give her , that she spoke of her friendship for them both with the most grateful warmth , was ready to own all their obligation to her , and openly declared that no exertion for their good on Miss Dashwood 's part , either present or future , would ever surprise her , for she believed her capable of doing any thing in the world for those she really valued . 
Elinor Dashwood	patient	meeting	He expressed great pleasure in meeting Elinor , told her that he had been just going to call in Berkeley Street , and , assuring her that Fanny would be very glad to see her , invited her to come in . 
Elinor Dashwood	patient	told	He expressed great pleasure in meeting Elinor , told her that he had been just going to call in Berkeley Street , and , assuring her that Fanny would be very glad to see her , invited her to come in . 
Elinor Dashwood	patient	assuring	He expressed great pleasure in meeting Elinor , told her that he had been just going to call in Berkeley Street , and , assuring her that Fanny would be very glad to see her , invited her to come in . 
Elinor Dashwood	patient	see	He expressed great pleasure in meeting Elinor , told her that he had been just going to call in Berkeley Street , and , assuring her that Fanny would be very glad to see her , invited her to come in . 
Elinor Dashwood	patient	invited	He expressed great pleasure in meeting Elinor , told her that he had been just going to call in Berkeley Street , and , assuring her that Fanny would be very glad to see her , invited her to come in . 
Elinor Dashwood	patient	see	""" I am not sorry to see you alone , "" he replied , "" for I have a good deal to say to you . "
Elinor Dashwood	patient	employed	""" Elinor contradicted it , however , very positively ; and by relating that she had herself been employed in conveying the offer from Colonel Brandon to Edward , and , therefore , must understand the terms on which it was given , obliged him to submit to her authority . "
Elinor Dashwood	patient	left	After a few moments ' chat , John Dashwood , recollecting that Fanny was yet uninformed of her sister 's being there , quitted the room in quest of her ; and Elinor was left to improve her acquaintance with Robert , who , by the gay unconcern , the happy self - complacency of his manner while enjoying so unfair a division of his mother 's love and liberality , to the prejudice of his banished brother , earned only by his own dissipated course of life , and that brother 's integrity , was confirming her most unfavourable opinion of his head and heart . 
Elinor Dashwood	patient	see	CHAPTER 42 One other short call in Harley Street , in which Elinor received her brother 's congratulations on their travelling so far towards Barton without any expense , and on Colonel Brandon 's being to follow them to Cleveland in a day or two , completed the intercourse of the brother and sisters in town;--and a faint invitation from Fanny , to come to Norland whenever it should happen to be in their way , which of all things was the most unlikely to occur , with a more warm , though less public , assurance , from John to Elinor , of the promptitude with which he should come to see her at Delaford , was all that foretold any meeting in the country . 
Elinor Dashwood	patient	amused	It amused her to observe that all her friends seemed determined to send her to Delaford;--a place , in which , of all others , she would now least chuse to visit , or wish to reside ; for not only was it considered as her future home by her brother and Mrs. Jennings , but even Lucy , when they parted , gave her a pressing invitation to visit her there . 
Elinor Dashwood	patient	send	It amused her to observe that all her friends seemed determined to send her to Delaford;--a place , in which , of all others , she would now least chuse to visit , or wish to reside ; for not only was it considered as her future home by her brother and Mrs. Jennings , but even Lucy , when they parted , gave her a pressing invitation to visit her there . 
Elinor Dashwood	patient	treating	He was nice in his eating , uncertain in his hours ; fond of his child , though affecting to slight it ; and idled away the mornings at billiards , which ought to have been devoted to business . She liked him , however , upon the whole , much better than she had expected , and in her heart was not sorry that she could like him no more;-- not sorry to be driven by the observation of his Epicurism , his selfishness , and his conceit , to rest with complacency on the remembrance of Edward 's generous temper , simple taste , and diffident feelings . Of Edward , or at least of some of his concerns , she now received intelligence from Colonel Brandon , who had been into Dorsetshire lately ; and who , treating her at once as the disinterested friend of Mr. Ferrars , and the kind of confidant of himself , talked to her a great deal of the parsonage at Delaford , described its deficiencies , and told her what he meant to do himself towards removing them.--His behaviour to her in this , as well as in every other particular , his open pleasure in meeting her after an absence of only ten days , his readiness to converse with her , and his deference for her opinion , might very well justify Mrs. Jennings 's persuasion of his attachment , and would have been enough , perhaps , had not Elinor still , as from the first , believed Marianne his real favourite , to make her suspect it herself . But as it was , such a notion had scarcely ever entered her head , except by Mrs. Jennings 's suggestion ; and she could not help believing herself the nicest observer of the two;--she watched his eyes , while Mrs. Jennings thought only of his behaviour;--and while his looks of anxious solicitude on Marianne 's feeling , in her head and throat , the beginning of a heavy cold , because unexpressed by words , entirely escaped the latter lady 's observation;--SHE could 
Elinor Dashwood	patient	told	He was nice in his eating , uncertain in his hours ; fond of his child , though affecting to slight it ; and idled away the mornings at billiards , which ought to have been devoted to business . She liked him , however , upon the whole , much better than she had expected , and in her heart was not sorry that she could like him no more;-- not sorry to be driven by the observation of his Epicurism , his selfishness , and his conceit , to rest with complacency on the remembrance of Edward 's generous temper , simple taste , and diffident feelings . Of Edward , or at least of some of his concerns , she now received intelligence from Colonel Brandon , who had been into Dorsetshire lately ; and who , treating her at once as the disinterested friend of Mr. Ferrars , and the kind of confidant of himself , talked to her a great deal of the parsonage at Delaford , described its deficiencies , and told her what he meant to do himself towards removing them.--His behaviour to her in this , as well as in every other particular , his open pleasure in meeting her after an absence of only ten days , his readiness to converse with her , and his deference for her opinion , might very well justify Mrs. Jennings 's persuasion of his attachment , and would have been enough , perhaps , had not Elinor still , as from the first , believed Marianne his real favourite , to make her suspect it herself . But as it was , such a notion had scarcely ever entered her head , except by Mrs. Jennings 's suggestion ; and she could not help believing herself the nicest observer of the two;--she watched his eyes , while Mrs. Jennings thought only of his behaviour;--and while his looks of anxious solicitude on Marianne 's feeling , in her head and throat , the beginning of a heavy cold , because unexpressed by words , entirely escaped the latter lady 's observation;--SHE could 
Elinor Dashwood	patient	meeting	He was nice in his eating , uncertain in his hours ; fond of his child , though affecting to slight it ; and idled away the mornings at billiards , which ought to have been devoted to business . She liked him , however , upon the whole , much better than she had expected , and in her heart was not sorry that she could like him no more;-- not sorry to be driven by the observation of his Epicurism , his selfishness , and his conceit , to rest with complacency on the remembrance of Edward 's generous temper , simple taste , and diffident feelings . Of Edward , or at least of some of his concerns , she now received intelligence from Colonel Brandon , who had been into Dorsetshire lately ; and who , treating her at once as the disinterested friend of Mr. Ferrars , and the kind of confidant of himself , talked to her a great deal of the parsonage at Delaford , described its deficiencies , and told her what he meant to do himself towards removing them.--His behaviour to her in this , as well as in every other particular , his open pleasure in meeting her after an absence of only ten days , his readiness to converse with her , and his deference for her opinion , might very well justify Mrs. Jennings 's persuasion of his attachment , and would have been enough , perhaps , had not Elinor still , as from the first , believed Marianne his real favourite , to make her suspect it herself . But as it was , such a notion had scarcely ever entered her head , except by Mrs. Jennings 's suggestion ; and she could not help believing herself the nicest observer of the two;--she watched his eyes , while Mrs. Jennings thought only of his behaviour;--and while his looks of anxious solicitude on Marianne 's feeling , in her head and throat , the beginning of a heavy cold , because unexpressed by words , entirely escaped the latter lady 's observation;--SHE could 
Elinor Dashwood	patient	believed	Her departure , therefore , was fixed on ; and within an hour after Mr. Harris 's arrival , she set off , with her little boy and his nurse , for the house of a near relation of Mr. Palmer 's , who lived a few miles on the other side of Bath ; whither her husband promised , at her earnest entreaty , to join her in a day or two ; and whither she was almost equally urgent with her mother to accompany her . Mrs. Jennings , however , with a kindness of heart which made Elinor really love her , declared her resolution of not stirring from Cleveland as long as Marianne remained ill , and of endeavouring , by her own attentive care , to supply to her the place of the mother she had taken her from ; and Elinor found her on every occasion a most willing and active helpmate , desirous to share in all her fatigues , and often by her better experience in nursing , of material use . Poor Marianne , languid and low from the nature of her malady , and feeling herself universally ill , could no longer hope that tomorrow would find her recovered ; and the idea of what tomorrow would have produced , but for this unlucky illness , made every ailment severe ; for on that day they were to have begun their journey home ; and , attended the whole way by a servant of Mrs. Jennings , were to have taken their mother by surprise on the following forenoon . The little she said was all in lamentation of this inevitable delay ; though Elinor tried to raise her spirits , and make her believe , as she THEN really believed herself , that it would be a very short one . The next day produced little or no alteration in the state of the patient ; she certainly was not better , and , except that there was no amendment , did not appear worse . Their party was now farther reduced ; for Mr. Palmer , though very unwilling to go as well from real humanity and good - nature , as from a dislike of appearing to be frightened away by his wife , was persuaded at last by Colonel Brandon to perform his promise of following her ; and while he was preparing to go , Colonel Brandon himself , with a much greater exertion , began to talk of going likewise.--Here , however , the kindness of Mrs. Jennings interposed most acceptably ; for to send the Colonel away while his love was in so much uneasiness on her sister 's account , would be to deprive them both , she thought , of every comfort ; and therefore telling him at once that his stay at Cleveland was necessary to herself , that she should want him to play at piquet of an evening , while Miss Dashwood was above with her sister , & c. 
Elinor Dashwood	patient	tortured	Hour after hour passed away in sleepless pain and delirium on Marianne 's side , and in the most cruel anxiety on Elinor 's , before Mr. Harris appeared . Her apprehensions once raised , paid by their excess for all her former security ; and the servant who sat up with her , for she would not allow Mrs. Jennings to be called , only tortured her more , by hints of what her mistress had always thought . 
Elinor Dashwood	patient	reproaching	Marianne 's ideas were still , at intervals , fixed incoherently on her mother , and whenever she mentioned her name , it gave a pang to the heart of poor Elinor , who , reproaching herself for having trifled with so many days of illness , and wretched for some immediate relief , fancied that all relief might soon be in vain , that every thing had been delayed too long , and pictured to herself her suffering mother arriving too late to see this darling child , or to see her rational . 
Elinor Dashwood	patient	kept	About noon , however , she began -- but with a caution -- a dread of disappointment which for some time kept her silent , even to her friend -- to fancy , to hope she could perceive a slight amendment in her sister 's pulse;--she waited , watched , and examined it again and again;--and at last , with an agitation more difficult to bury under exterior calmness , than all her foregoing distress , ventured to communicate her hopes . 
Elinor Dashwood	patient	told	Mrs. Jennings , though forced , on examination , to acknowledge a temporary revival , tried to keep her young friend from indulging a thought of its continuance;-- and Elinor , conning over every injunction of distrust , told herself likewise not to hope . 
Elinor Dashwood	patient	blessed	Half an hour passed away , and the favourable symptom yet blessed her . 
Elinor Dashwood	patient	flattered	Others even arose to confirm it . Her breath , her skin , her lips , all flattered Elinor with signs of amendment ; and Marianne fixed her eyes on her with a rational , though languid , gaze . 
Elinor Dashwood	patient	convinced	The clock struck eight . Had it been ten , Elinor would have been convinced that at that moment she heard a carriage driving up to the house ; and so strong was the persuasion that she DID , in spite of the ALMOST impossibility of their being already come , that she moved into the adjoining dressing - closet and opened a window shutter , to be satisfied of the truth . 
Elinor Dashwood	patient	deceived	She instantly saw that her ears had not deceived her . 
Elinor Dashwood	patient	assured	"All that remained to be done was to be speedy ; and , therefore staying only till she could leave Mrs. Jennings 's maid with her sister , she hurried down stairs . The bustle in the vestibule , as she passed along an inner lobby , assured her that they were already in the house . She rushed to the drawing - room,--she entered it,--and saw only Willoughby . CHAPTER 44 Elinor , starting back with a look of horror at the sight of him , obeyed the first impulse of her heart in turning instantly to quit the room , and her hand was already on the lock , when its action was suspended by his hastily advancing , and saying , in a voice rather of command than supplication , "" Miss Dashwood , for half an hour -- for ten minutes-- I entreat you to stay . "" "" No , sir , "" she replied with firmness , "" I shall NOT stay . "
Elinor Dashwood	patient	entreat	"All that remained to be done was to be speedy ; and , therefore staying only till she could leave Mrs. Jennings 's maid with her sister , she hurried down stairs . The bustle in the vestibule , as she passed along an inner lobby , assured her that they were already in the house . She rushed to the drawing - room,--she entered it,--and saw only Willoughby . CHAPTER 44 Elinor , starting back with a look of horror at the sight of him , obeyed the first impulse of her heart in turning instantly to quit the room , and her hand was already on the lock , when its action was suspended by his hastily advancing , and saying , in a voice rather of command than supplication , "" Miss Dashwood , for half an hour -- for ten minutes-- I entreat you to stay . "" "" No , sir , "" she replied with firmness , "" I shall NOT stay . "
Elinor Dashwood	patient	understand	""" I understand you , "" he replied , with an expressive smile , and a voice perfectly calm ; "" yes , I am very drunk.-- A pint of porter with my cold beef at Marlborough was enough to over - set me . "
Elinor Dashwood	patient	convincing	"The steadiness of his manner , and the intelligence of his eye as he spoke , convincing Elinor , that whatever other unpardonable folly might bring him to Cleveland , he was not brought there by intoxication , she said , after a moment 's recollection , "" Mr. Willoughby , you OUGHT to feel , and I certainly DO -- that after what has passed -- your coming here in this manner , and forcing yourself upon my notice , requires a very particular excuse.--What is it , that you mean by it?""-- "" I mean,""--said he , with serious energy--""if I can , to make you hate me one degree less than you do NOW . "
Elinor Dashwood	patient	hate	"The steadiness of his manner , and the intelligence of his eye as he spoke , convincing Elinor , that whatever other unpardonable folly might bring him to Cleveland , he was not brought there by intoxication , she said , after a moment 's recollection , "" Mr. Willoughby , you OUGHT to feel , and I certainly DO -- that after what has passed -- your coming here in this manner , and forcing yourself upon my notice , requires a very particular excuse.--What is it , that you mean by it?""-- "" I mean,""--said he , with serious energy--""if I can , to make you hate me one degree less than you do NOW . "
Elinor Dashwood	patient	assuring	""" Marianne 's note , by assuring me that I was still as dear to her as in former days , that in spite of the many , many weeks we had been separated , she was as constant in her own feelings , and as full of faith in the constancy of mine as ever , awakened all my remorse . "
Elinor Dashwood	patient	know	'-- But this note made me know myself better . 
Elinor Dashwood	patient	preserve	I sent no answer to Marianne , intending by that to preserve myself from her farther notice ; and for some time I was even determined not to call in Berkeley Street;--but at last , judging it wiser to affect the air of a cool , common acquaintance than anything else , I watched you all safely out of the house one morning , and left my name . 
Elinor Dashwood	patient	asked	He asked me to a party , a dance at his house in the evening.--Had he NOT told me as an inducement that you and your sister were to be there , I should have felt it too certain a thing , to trust myself near him . 
Elinor Dashwood	patient	told	He asked me to a party , a dance at his house in the evening.--Had he NOT told me as an inducement that you and your sister were to be there , I should have felt it too certain a thing , to trust myself near him . 
Elinor Dashwood	patient	trust	He asked me to a party , a dance at his house in the evening.--Had he NOT told me as an inducement that you and your sister were to be there , I should have felt it too certain a thing , to trust myself near him . 
Elinor Dashwood	patient	pity	If you CAN pity me , Miss Dashwood , pity my situation as it was THEN . 
Elinor Dashwood	patient	forced	With my head and heart full of your sister , I was forced to play the happy lover to another woman!--Those three or four weeks were worse than all . Well , at last , as I need not tell you , you were forced on me ; and what a sweet figure I cut!--what an evening of agony it was!-- Marianne , beautiful as an angel on one side , calling me Willoughby in such a tone!--Oh , God!--holding out her hand to me , asking me for an explanation , with those bewitching eyes fixed in such speaking solicitude on my face!--and Sophia , jealous as the devil on the other hand , looking all that was -- Well , it does not signify ; it is over now.-- Such an evening!--I ran away from you all as soon as I could ; but not before I had seen Marianne 's sweet face as white as death.--THAT was the last , last look I ever had of her;-- the last manner in which she appeared to me . 
Elinor Dashwood	patient	calling	With my head and heart full of your sister , I was forced to play the happy lover to another woman!--Those three or four weeks were worse than all . Well , at last , as I need not tell you , you were forced on me ; and what a sweet figure I cut!--what an evening of agony it was!-- Marianne , beautiful as an angel on one side , calling me Willoughby in such a tone!--Oh , God!--holding out her hand to me , asking me for an explanation , with those bewitching eyes fixed in such speaking solicitude on my face!--and Sophia , jealous as the devil on the other hand , looking all that was -- Well , it does not signify ; it is over now.-- Such an evening!--I ran away from you all as soon as I could ; but not before I had seen Marianne 's sweet face as white as death.--THAT was the last , last look I ever had of her;-- the last manner in which she appeared to me . 
Elinor Dashwood	patient	asking	With my head and heart full of your sister , I was forced to play the happy lover to another woman!--Those three or four weeks were worse than all . Well , at last , as I need not tell you , you were forced on me ; and what a sweet figure I cut!--what an evening of agony it was!-- Marianne , beautiful as an angel on one side , calling me Willoughby in such a tone!--Oh , God!--holding out her hand to me , asking me for an explanation , with those bewitching eyes fixed in such speaking solicitude on my face!--and Sophia , jealous as the devil on the other hand , looking all that was -- Well , it does not signify ; it is over now.-- Such an evening!--I ran away from you all as soon as I could ; but not before I had seen Marianne 's sweet face as white as death.--THAT was the last , last look I ever had of her;-- the last manner in which she appeared to me . 
Elinor Dashwood	patient	caught	It happened to catch Sophia 's eye before it caught mine -- and its size , the elegance of the paper , the hand - writing altogether , immediately gave her a suspicion . 
Elinor Dashwood	patient	ruined	My business was to declare myself a scoundrel , and whether I did it with a bow or a bluster was of little importance.-- ' I am ruined for ever in their opinion-- ' said I to myself--'I am shut out for ever from their society , they already think me an unprincipled fellow , this letter will only make them think me a blackguard one . ' 
Elinor Dashwood	patient	forced	Her three notes -- unluckily they were all in my pocketbook , or I should have denied their existence , and hoarded them for ever -- I was forced to put them up , and could not even kiss them . 
Elinor Dashwood	patient	recalled	"The attachment , from which against honour , against feeling , against every better interest he had outwardly torn himself , now , when no longer allowable , governed every thought ; and the connection , for the sake of which he had , with little scruple , left her sister to misery , was likely to prove a source of unhappiness to himself of a far more incurable nature . From a reverie of this kind she was recalled at the end of some minutes by Willoughby , who , rousing himself from a reverie at least equally painful , started up in preparation for going , and said-- "" There is no use in staying here ; I must be off . "" "" Are you going back to town ? "
Elinor Dashwood	patient	rob	And if that some one should be the very he whom , of all others , I could least bear -- but I will not stay to rob myself of all your compassionate goodwill , by shewing that where I have most injured I can least forgive . 
Elinor Dashwood	patient	left	Elinor , for some time after he left her , for some time even after the sound of his carriage had died away , remained too much oppressed by a crowd of ideas , widely differing in themselves , but of which sadness was the general result , to think even of her sister . 
Elinor Dashwood	patient	threw	The past , the present , the future , Willoughby 's visit , Marianne 's safety , and her mother 's expected arrival , threw her altogether into an agitation of spirits which kept off every indication of fatigue , and made her only fearful of betraying herself to her sister . Short was the time , however , in which that fear could affect her , for within half an hour after Willoughby 's leaving the house , she was again called down stairs by the sound of another carriage.--Eager to save her mother from every unnecessary moment 's horrible suspense , she ran immediately into the hall , and reached the outward door just in time to receive and support her as she entered it . 
Elinor Dashwood	patient	betraying	The past , the present , the future , Willoughby 's visit , Marianne 's safety , and her mother 's expected arrival , threw her altogether into an agitation of spirits which kept off every indication of fatigue , and made her only fearful of betraying herself to her sister . Short was the time , however , in which that fear could affect her , for within half an hour after Willoughby 's leaving the house , she was again called down stairs by the sound of another carriage.--Eager to save her mother from every unnecessary moment 's horrible suspense , she ran immediately into the hall , and reached the outward door just in time to receive and support her as she entered it . 
Elinor Dashwood	patient	affect	The past , the present , the future , Willoughby 's visit , Marianne 's safety , and her mother 's expected arrival , threw her altogether into an agitation of spirits which kept off every indication of fatigue , and made her only fearful of betraying herself to her sister . Short was the time , however , in which that fear could affect her , for within half an hour after Willoughby 's leaving the house , she was again called down stairs by the sound of another carriage.--Eager to save her mother from every unnecessary moment 's horrible suspense , she ran immediately into the hall , and reached the outward door just in time to receive and support her as she entered it . 
Elinor Dashwood	patient	called	The past , the present , the future , Willoughby 's visit , Marianne 's safety , and her mother 's expected arrival , threw her altogether into an agitation of spirits which kept off every indication of fatigue , and made her only fearful of betraying herself to her sister . Short was the time , however , in which that fear could affect her , for within half an hour after Willoughby 's leaving the house , she was again called down stairs by the sound of another carriage.--Eager to save her mother from every unnecessary moment 's horrible suspense , she ran immediately into the hall , and reached the outward door just in time to receive and support her as she entered it . 
Elinor Dashwood	patient	save	The past , the present , the future , Willoughby 's visit , Marianne 's safety , and her mother 's expected arrival , threw her altogether into an agitation of spirits which kept off every indication of fatigue , and made her only fearful of betraying herself to her sister . Short was the time , however , in which that fear could affect her , for within half an hour after Willoughby 's leaving the house , she was again called down stairs by the sound of another carriage.--Eager to save her mother from every unnecessary moment 's horrible suspense , she ran immediately into the hall , and reached the outward door just in time to receive and support her as she entered it . 
Elinor Dashwood	patient	embraced	She was supported into the drawing - room between her daughter and her friend;-- and there , shedding tears of joy , though still unable to speak , embraced Elinor again and again , turning from her at intervals to press Colonel Brandon 's hand , with a look which spoke at once her gratitude , and her conviction of his sharing with herself in the bliss of the moment . He shared it , however , in a silence even greater than her own . As soon as Mrs. Dashwood had recovered herself , to see Marianne was her first desire ; and in two minutes she was with her beloved child , rendered dearer to her than ever by absence , unhappiness , and danger . 
Elinor Dashwood	patient	acquitted	"Willoughby , "" poor Willoughby , "" as she now allowed herself to call him , was constantly in her thoughts ; she would not but have heard his vindication for the world , and now blamed , now acquitted herself for having judged him so harshly before . "
Elinor Dashwood	patient	lead	She , who had seen her week after week so constantly suffering , oppressed by anguish of heart which she had neither courage to speak of , nor fortitude to conceal , now saw with a joy , which no other could equally share , an apparent composure of mind , which , in being the result as she trusted of serious reflection , must eventually lead her to contentment and cheerfulness . 
Elinor Dashwood	patient	honoured	"By reading only six hours a - day , I shall gain in the course of a twelve - month a great deal of instruction which I now feel myself to want . "" Elinor honoured her for a plan which originated so nobly as this ; though smiling to see the same eager fancy which had been leading her to the extreme of languid indolence and selfish repining , now at work in introducing excess into a scheme of such rational employment and virtuous self - control . "
Elinor Dashwood	patient	leading	"By reading only six hours a - day , I shall gain in the course of a twelve - month a great deal of instruction which I now feel myself to want . "" Elinor honoured her for a plan which originated so nobly as this ; though smiling to see the same eager fancy which had been leading her to the extreme of languid indolence and selfish repining , now at work in introducing excess into a scheme of such rational employment and virtuous self - control . "
Elinor Dashwood	patient	expose	"what must it make me appear to myself?--What in a situation like mine , but a most shamefully unguarded affection could expose me to""-- "" How then , "" asked her sister , "" would you account for his behaviour ? "" "
Elinor Dashwood	patient	perceive	""" You consider the matter , "" said Elinor , "" exactly as a good mind and a sound understanding must consider it ; and I dare say you perceive , as well as myself , not only in this , but in many other circumstances , reason enough to be convinced that your marriage must have involved you in many certain troubles and disappointments , in which you would have been poorly supported by an affection , on his side , much less certain . "
Elinor Dashwood	patient	afforded	""" We know nothing of our unfortunate Edward , and can make no enquiries on so prohibited a subject , but conclude him to be still at Oxford ; "" which was all the intelligence of Edward afforded her by the correspondence , for his name was not even mentioned in any of the succeeding letters . "
Elinor Dashwood	patient	doomed	She was not doomed , however , to be long in ignorance of his measures . 
Elinor Dashwood	patient	knew	"and she knew me and called to me , and inquired after you , ma'am , and the young ladies , especially Miss Marianne , and bid me I should give her compliments and Mr. Ferrars 's , their best compliments and service , and how sorry they was they had not time to come on and see you , but they was in a great hurry to go forwards , for they was going further down for a little while , but howsever , when they come back , they 'd make sure to come and see you . "" "" But did she tell you she was married , Thomas ? "
Elinor Dashwood	patient	bid	"and she knew me and called to me , and inquired after you , ma'am , and the young ladies , especially Miss Marianne , and bid me I should give her compliments and Mr. Ferrars 's , their best compliments and service , and how sorry they was they had not time to come on and see you , but they was in a great hurry to go forwards , for they was going further down for a little while , but howsever , when they come back , they 'd make sure to come and see you . "" "" But did she tell you she was married , Thomas ? "
Elinor Dashwood	patient	see	"and she knew me and called to me , and inquired after you , ma'am , and the young ladies , especially Miss Marianne , and bid me I should give her compliments and Mr. Ferrars 's , their best compliments and service , and how sorry they was they had not time to come on and see you , but they was in a great hurry to go forwards , for they was going further down for a little while , but howsever , when they come back , they 'd make sure to come and see you . "" "" But did she tell you she was married , Thomas ? "
Elinor Dashwood	patient	see	"and she knew me and called to me , and inquired after you , ma'am , and the young ladies , especially Miss Marianne , and bid me I should give her compliments and Mr. Ferrars 's , their best compliments and service , and how sorry they was they had not time to come on and see you , but they was in a great hurry to go forwards , for they was going further down for a little while , but howsever , when they come back , they 'd make sure to come and see you . "" "" But did she tell you she was married , Thomas ? "
Elinor Dashwood	patient	tell	"and she knew me and called to me , and inquired after you , ma'am , and the young ladies , especially Miss Marianne , and bid me I should give her compliments and Mr. Ferrars 's , their best compliments and service , and how sorry they was they had not time to come on and see you , but they was in a great hurry to go forwards , for they was going further down for a little while , but howsever , when they come back , they 'd make sure to come and see you . "" "" But did she tell you she was married , Thomas ? "
Elinor Dashwood	patient	told	""" They come straight from town , as Miss Lucy-- Mrs. Ferrars told me . "" "" And are they going farther westward ? "
Elinor Dashwood	patient	left	When the dessert and the wine were arranged , and Mrs. Dashwood and Elinor were left by themselves , they remained long together in a similarity of thoughtfulness and silence . 
Elinor Dashwood	patient	spare	Mrs. Dashwood feared to hazard any remark , and ventured not to offer consolation . She now found that she had erred in relying on Elinor 's representation of herself ; and justly concluded that every thing had been expressly softened at the time , to spare her from an increase of unhappiness , suffering as she then had suffered for Marianne . 
Elinor Dashwood	patient	surprised	That he should be married soon , before ( as she imagined ) he could be in orders , and consequently before he could be in possession of the living , surprised her a little at first . 
Elinor Dashwood	patient	pleased	She saw them in an instant in their parsonage - house ; saw in Lucy , the active , contriving manager , uniting at once a desire of smart appearance with the utmost frugality , and ashamed to be suspected of half her economical practices;-- pursuing her own interest in every thought , courting the favour of Colonel Brandon , of Mrs. Jennings , and of every wealthy friend . In Edward -- she knew not what she saw , nor what she wished to see;--happy or unhappy,--nothing pleased her ; she turned away her head from every sketch of him . 
Elinor Dashwood	patient	flattered	Elinor flattered herself that some one of their connections in London would write to them to announce the event , and give farther particulars,--but day after day passed off , and brought no letter , no tidings . Though uncertain that any one were to blame , she found fault with every absent friend . 
Elinor Dashwood	patient	exert	"Elinor resolving to exert herself , though fearing the sound of her own voice , now said , "" Is Mrs. Ferrars at Longstaple ? "" "" At Longstaple ! "" he replied , with an air of surprise.-- "" No , my mother is in town . "" "" I meant , "" said Elinor , taking up some work from the table , "" to inquire for Mrs. EDWARD Ferrars . "
Elinor Dashwood	patient	ask	It was only to ask Elinor to marry him;--and considering that he was not altogether inexperienced in such a question , it might be strange that he should feel so uncomfortable in the present case as he really did , so much in need of encouragement and fresh air . 
Elinor Dashwood	patient	praise	Mrs. Dashwood , too happy to be comfortable , knew not how to love Edward , nor praise Elinor enough , how to be enough thankful for his release without wounding his delicacy , nor how at once to give them leisure for unrestrained conversation together , and yet enjoy , as she wished , the sight and society of both . 
Elinor Dashwood	patient	address	But when the second moment had passed , when she found every doubt , every solicitude removed , compared her situation with what so lately it had been,--saw him honourably released from his former engagement , saw him instantly profiting by the release , to address herself and declare an affection as tender , as constant as she had ever supposed it to be,--she was oppressed , she was overcome by her own felicity;-- and happily disposed as is the human mind to be easily familiarized with any change for the better , it required several hours to give sedateness to her spirits , or any degree of tranquillity to her heart . Edward was now fixed at the cottage at least for a week;--for whatever other claims might be made on him , it was impossible that less than a week should be given up to the enjoyment of Elinor 's company , or suffice to say half that was to be said of the past , the present , and the future;--for though a very few hours spent in the hard labor of incessant talking will despatch more subjects than can really be in common between any two rational creatures , yet with lovers it is different . 
