Character	MostCommon	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38	C39	C40	C41	C42	C43	C44	C45	C46	C47	C48	C49	C50
Sir Thomas Bertram	Lady Bertram	Lady Bertram	Mr. Rushworth	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Lucas	Sir William Lucas	Lady Middleton	Lady Bertram	Maria Bertram	Mrs. Norris	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Sir William Lucas	Sir John Middleton	Lady Bertram	Maria Bertram	Mary Crawford	Mrs. Norris	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Lady Middleton	Lady Bertram	Maria Bertram	Mr. Rushworth	Mrs. Norris	Sir Thomas Bertram	General Tilney	Lady Russell	Sir Walter Elliot	Lady Catherine de Bourgh	Sir William Lucas	Lady Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	Mrs. Norris	Mrs. Price	Mrs. Rushworth	Sir Walter Elliot	Lady Catherine de Bourgh
Susan Price	Fanny Price	Fanny Price	Henry Crawford	Maria Bertram	Lieutenant Price	Mrs. Price	Susan Price	William Price	Catherine Morland	James Morland	Mrs. Morland	Fanny Price	Henry Crawford	Maria Bertram	Lieutenant Price	Mrs. Price	Sir Thomas Bertram	William Price	Catherine Morland	James Morland	Mrs. Morland	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Fanny Price	Henry Crawford	Julia Bertram	Lady Bertram	Maria Bertram	Lieutenant Price	Mrs. Price	Sir Thomas Bertram	Tom Bertram	William Price	Fanny Price	Henry Crawford	Julia Bertram	Maria Bertram	Mary Crawford	Lieutenant Price	Mrs. Price	Sir Thomas Bertram	Tom Bertram	William Price
Tom Bertram	Frank Churchill	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Frank Churchill	Edmund Bertram	Henry Crawford	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	Sir Thomas Bertram	William Price	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Frank Churchill	Edmund Bertram	Henry Crawford	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Yates	Sir Thomas Bertram	Susan Price	William Price
William Price	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Fanny Price	Henry Crawford	Maria Bertram	Lieutenant Price	Mrs. Price	Susan Price	Tom Bertram	Catherine Morland	James Morland	John Thorpe	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Catherine Morland	Emma Woodhouse	Emma Woodhouse	Fanny Price	Susan Price	Eleanor Tilney	Isabella Thorpe	James Morland	John Thorpe	Anne Elliot	Elizabeth Bennet	Marianne Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Susan Price	Eleanor Tilney	Isabella Thorpe	Anne Elliot	Elizabeth Bennet	Elinor Dashwood	Marianne Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Susan Price	Eleanor Tilney	Isabella Thorpe	John Thorpe	Anne Elliot	Elizabeth Bennet	Marianne Dashwood	Emma Woodhouse	Harriet Smith	Fanny Price	Susan Price	Eleanor Tilney	Frederick Tilney	Henry Tilney	Isabella Thorpe	James Morland	John Thorpe	Emma Woodhouse	Harriet Smith	Fanny Price	Susan Price	Eleanor Tilney	Isabella Thorpe	James Morland	Anne Elliot	Elizabeth Bennet	Elinor Dashwood
Eleanor Tilney	Emma Woodhouse	Emma Woodhouse	Jane Fairfax	Fanny Price	Maria Bertram	Catherine Morland	Anne Elliot	Henrietta Musgrove	Louisa Musgrove	Elizabeth Bennet	Jane Bennet	Emma Woodhouse	Jane Fairfax	Fanny Price	Catherine Morland	Anne Elliot	Elizabeth Bennet	Jane Bennet	Elinor Dashwood	Marianne Dashwood	Mrs. Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Julia Bertram	Maria Bertram	Catherine Morland	Anne Elliot	Elizabeth Bennet	Jane Bennet	Elinor Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Catherine Morland	Anne Elliot	Elizabeth Bennet	Jane Bennet	Elinor Dashwood	Marianne Dashwood	Mrs. Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Julia Bertram	Lady Bertram	Maria Bertram	Mary Crawford	Mrs. Grant	Mrs. Norris	Susan Price
Frederick Tilney	Frank Churchill	Frank Churchill	Henry Crawford	Julia Bertram	Maria Bertram	Mary Crawford	Mr. Rushworth	Mr. Yates	Tom Bertram	John Thorpe	John Willoughby	Frank Churchill	Henry Crawford	General Tilney	Henry Tilney	John Thorpe	Captain Benwick	Captain Harville	Captain Wentworth	George Wickham	John Willoughby	Frank Churchill	Henry Crawford	Mary Crawford	General Tilney	Henry Tilney	John Thorpe	Captain Benwick	Captain Harville	Captain Wentworth	Frank Churchill	Henry Crawford	Maria Bertram	Mr. Rushworth	Mr. Yates	John Thorpe	Captain Benwick	Captain Harville	Captain Wentworth	John Willoughby	Frank Churchill	Henry Crawford	General Tilney	Henry Tilney	Isabella Thorpe	John Thorpe	Captain Benwick	Captain Harville	Captain Wentworth	John Willoughby
General Tilney	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Henry Tilney	Anna Weston	Anna Weston	Augusta Elton	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Isabella Thorpe	John Thorpe	John Thorpe	Mrs. Thorpe	Caroline Bingley	George Wickham	Lydia Bennet	Anne Steele	Charlotte Palmer	Fanny Dashwood	Lucy Steele	Robert Ferrars	John Thorpe	Mrs. Thorpe	Mrs. Clay	Caroline Bingley	George Wickham	Lydia Bennet	Anne Steele	Charlotte Palmer	Fanny Dashwood	Lucy Steele	John Thorpe	Mrs. Thorpe	Mrs. Clay	William Elliot	George Wickham	Lydia Bennet	Anne Steele	Charlotte Palmer	Fanny Dashwood	Lucy Steele	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	John Thorpe	Mrs. Thorpe	Caroline Bingley	George Wickham	Lydia Bennet	Mrs. Hurst	Mr. Hurst	Anne Steele	Lucy Steele	Robert Ferrars
James Morland	John Thorpe	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	John Thorpe	Isabella Thorpe	Mr. Allen	Mrs. Allen	Mrs. Morland	Mrs. Thorpe	Admiral Croft	Anne Elliot	Captain Benwick	Captain Harville	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	John Thorpe	Isabella Thorpe	Catherine Morland	Mr. Allen	Mrs. Allen	Mrs. Morland	Mrs. Thorpe	General Tilney	Henry Tilney	Frederick Tilney	John Thorpe	Isabella Thorpe	Mrs. Thorpe	Mrs. Morland	Catherine Morland	Mr. Allen	Mrs. Allen	General Tilney	Henry Tilney	Frederick Tilney
John Thorpe	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Philip Elton	Henry Crawford	Mary Crawford	Mr. Rushworth	Mr. Yates	Isabella Thorpe	Mrs. Thorpe	William Elliot	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Philip Elton	Henry Crawford	Mary Crawford	Mr. Rushworth	Mr. Yates	Isabella Thorpe	Mrs. Thorpe	John Willoughby	Anna Weston	Augusta Elton	Philip Elton	Henry Crawford	Mary Crawford	Mr. Rushworth	Mr. Yates	Isabella Thorpe	Mrs. Thorpe	George Wickham
Mr. Allen	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mrs. Allen	Mr. Allen	Mr. Allen	Mrs. Morland	Mrs. Thorpe	Lady Russell	Mrs. Clay	Mrs. Musgrove	Mrs. Smith	Mrs. Bennet	Mrs. Gardiner	Mrs. Phillips	Mr. Allen	Mrs. Bennet	Mrs. Phillips	Lady Middleton	Mrs. Jennings	Sir John Middleton	Lady Lucas	Mrs. Norris	Mrs. Thorpe	Philip Elton	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Allen	Mrs. Morland	Mrs. Thorpe	Lady Russell	Mrs. Clay	Mrs. Musgrove	Mrs. Smith	Mrs. Bennet	Mrs. Gardiner	Mrs. Phillips	Mr. Allen	Mrs. Morland	Mrs. Thorpe	Lady Russell	Mrs. Clay	Mrs. Musgrove	Mrs. Smith	Mrs. Bennet	Mrs. Gardiner	Mrs. Phillips
Mrs. Morland	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Allen	Mrs. Allen	Mrs. Musgrove	Mr. Musgrove	Mrs. Bennet	Mrs. Gardiner	Mrs. Phillips	Lady Middleton	Mrs. Dashwood	Mrs. Jennings	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Allen	Mrs. Allen	Mrs. Musgrove	Mr. Musgrove	Lady Lucas	Mrs. Bennet	Mrs. Gardiner	Mrs. Phillips	Lady Middleton	Mrs. Dashwood	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mrs. Thorpe	Anna Weston	Isabella Thorpe	John Thorpe	Mrs. Allen	Mrs. Morland	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Clay	Mrs. Musgrove	Mrs. Bennet	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Admiral Croft	Anna Weston	Anna Weston	Mrs. Croft	Augusta Elton	Anne Elliot	Emma Woodhouse	Captain Benwick	Frank Churchill	Captain Harville	George Knightley	Charles Hayter	Harriet Smith	Louisa Musgrove	Isabella Knightley	Mary Musgrove	Jane Fairfax	Mrs. Clay	John Knightley	Mrs. Harville	Miss Bates	Mrs. Musgrove	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Captain Harville	Augusta Elton	Charles Hayter	Emma Woodhouse	Elizabeth Elliot	Frank Churchill	Henrietta Musgrove	George Knightley	Louisa Musgrove	Harriet Smith	Mary Musgrove	Isabella Knightley	Mrs. Croft	Jane Fairfax	Mrs. Harville	John Knightley	Mrs. Musgrove	Miss Bates	Mr. Musgrove	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Anne Elliot	Emma Woodhouse	Emma Woodhouse	George Knightley	Jane Fairfax	Fanny Price	Catherine Morland	Eleanor Tilney	Anne Elliot	Captain Benwick	Lady Russell	Captain Wentworth	Emma Woodhouse	George Knightley	Jane Fairfax	Fanny Price	Catherine Morland	Eleanor Tilney	Anne Elliot	Captain Benwick	Lady Russell	Captain Wentworth	Emma Woodhouse	Fanny Price	Catherine Morland	Eleanor Tilney	Frederick Tilney	Henry Tilney	Anne Elliot	Elizabeth Bennet	Elinor Dashwood	Marianne Dashwood	Emma Woodhouse	Jane Fairfax	Fanny Price	Mary Crawford	Catherine Morland	Eleanor Tilney	Henry Tilney	Lady Russell	Elizabeth Bennet	Elinor Dashwood	Emma Woodhouse	George Knightley	Jane Fairfax	Fanny Price	Catherine Morland	Eleanor Tilney	Henry Tilney	Anne Elliot	Elizabeth Bennet	Elinor Dashwood
Captain Benwick	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Captain Harville	Augusta Elton	Charles Hayter	Emma Woodhouse	Charles Musgrove	Frank Churchill	Henrietta Musgrove	George Knightley	Louisa Musgrove	Harriet Smith	Mary Musgrove	Isabella Knightley	Mrs. Croft	Jane Fairfax	Mrs. Harville	John Knightley	Mrs. Musgrove	Miss Bates	Mr. Musgrove	Anna Weston	Augusta Elton	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Captain Harville	George Knightley	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Captain Benwick	Augusta Elton	Captain Wentworth	Emma Woodhouse	Admiral Croft	Frank Churchill	Charles Hayter	George Knightley	Charles Musgrove	Harriet Smith	Mr. Shepherd	Isabella Knightley	Mr. Musgrove	Jane Fairfax	William Elliot	John Knightley	Mr. Weston	Miss Bates	George Knightley	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Charles Hayter	Charles Musgrove	Frank Churchill	George Knightley	Philip Elton	Robert Martin	Edmund Bertram	Henry Crawford	Tom Bertram	Frederick Tilney	Henry Tilney	Captain Wentworth	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Anne Elliot	Captain Benwick	Captain Harville	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Anne Elliot	Captain Benwick	Captain Harville	Charles Musgrove	Frank Churchill	George Knightley	Robert Martin	Edmund Bertram	Henry Crawford	Mr. Rushworth	Mr. Yates	Tom Bertram	Captain Benwick	Captain Wentworth
Charles Musgrove	Elizabeth Elliot	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Elizabeth Elliot	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Sir Walter Elliot	Anne Elliot	Lady Russell	Captain Benwick	Elizabeth Elliot	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Anne Elliot	Lady Russell	Sir Walter Elliot	William Elliot	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Elizabeth Elliot	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Anne Elliot	Lady Russell	Sir Walter Elliot	William Elliot
Elizabeth Elliot	Anne Elliot	Emma Woodhouse	Jane Fairfax	Maria Bertram	Mary Crawford	Sir Thomas Bertram	Anne Elliot	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Sir Walter Elliot	Anne Elliot	Lady Russell	Mary Musgrove	Mrs. Clay	Sir Walter Elliot	William Elliot	Caroline Bingley	Lady Catherine de Bourgh	Mrs. Hurst	Mrs. Phillips	Anne Elliot	Lady Russell	Mrs. Clay	Sir Walter Elliot	William Elliot	Caroline Bingley	Lady Catherine de Bourgh	Mrs. Hurst	Mrs. Phillips	Fanny Dashwood	Anne Elliot	Lady Russell	Mrs. Clay	Sir Walter Elliot	William Elliot	Caroline Bingley	Lady Catherine de Bourgh	Mrs. Bennet	Mrs. Hurst	Mrs. Phillips	Anne Elliot	Lady Russell	Mrs. Clay	Sir Walter Elliot	William Elliot	Caroline Bingley	Charles Bingley	Lady Catherine de Bourgh	Mrs. Hurst	Mr. Hurst
Henrietta Musgrove	Isabella Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	Julia Bertram	Maria Bertram	Susan Price	Catherine Morland	Isabella Thorpe	Henrietta Musgrove	Louisa Musgrove	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Weston	Mr. Woodhouse	Mr. Perry	Mrs. Cole	Philip Elton	Robert Martin	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Mr. Weston	Mr. Woodhouse	Mr. Perry	Mrs. Cole	Philip Elton	Robert Martin	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Lady Russell	Emma Woodhouse	Emma Woodhouse	Harriet Smith	Jane Fairfax	Mr. Perry	Philip Elton	Robert Martin	Dr. Grant	Edmund Bertram	Fanny Price	Henry Crawford	Emma Woodhouse	Emma Woodhouse	Harriet Smith	Isabella Knightley	Jane Fairfax	Miss Bates	Mr. Weston	Mr. Woodhouse	Mr. Perry	Mrs. Cole	Philip Elton	Emma Woodhouse	Lady Bertram	Lady Russell	Lady Catherine de Bourgh	Lady Lucas	Lady Middleton	Emma Woodhouse	Jane Fairfax	Lady Bertram	Mrs. Grant	Mrs. Norris	Lady Russell	Mrs. Harville	Mrs. Musgrove	Lady Lucas	Lady Middleton
Louisa Musgrove	Henrietta Musgrove	Henrietta Musgrove	Mary Musgrove	Elizabeth Elliot	Charles Musgrove	Lady Russell	Charles Hayter	Captain Benwick	Captain Harville	Anne Elliot	Mrs. Croft	Henrietta Musgrove	Mary Musgrove	Charles Musgrove	Elizabeth Elliot	Anne Elliot	Charles Hayter	Captain Benwick	Captain Harville	Lady Russell	Mrs. Croft	Henrietta Musgrove	Mary Musgrove	Elizabeth Elliot	Charles Musgrove	Lady Russell	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Captain Wentworth	Henrietta Musgrove	Mary Musgrove	Charles Musgrove	Elizabeth Elliot	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Lady Russell	Captain Wentworth	Henrietta Musgrove	Mary Musgrove	Charles Musgrove	Elizabeth Elliot	Anne Elliot	Charles Hayter	Captain Benwick	Captain Harville	Admiral Croft	Mrs. Croft
Mary Musgrove	Augusta Elton	Augusta Elton	Emma Woodhouse	Harriet Smith	Jane Fairfax	Miss Bates	Mrs. Cole	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Thorpe	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Augusta Elton	Harriet Smith	Jane Fairfax	Mrs. Cole	Philip Elton	Robert Martin	Edmund Bertram	Fanny Price	Henry Crawford	Julia Bertram
Mr. Shepherd	Mrs. Clay	Mrs. Clay	Mr. Phillips	Mrs. Phillips	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Mrs. Jennings	Mrs. Gardiner	Mrs. Hurst	Mr. Hurst	Mrs. Clay	Sir Walter Elliot	William Elliot	Caroline Bingley	Lady Catherine de Bourgh	Mr. Phillips	Mrs. Phillips	Anne Steele	Fanny Dashwood	Lucy Steele	Mrs. Clay	Sir Walter Elliot	William Elliot	Lady Catherine de Bourgh	Mr. Phillips	Mrs. Phillips	Anne Steele	Fanny Dashwood	Lucy Steele	Robert Ferrars	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mrs. Clay	Augusta Elton	Augusta Elton	Emma Woodhouse	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Lady Russell	Sir Walter Elliot	William Elliot	Augusta Elton	Emma Woodhouse	Mrs. Cole	Philip Elton	Mary Crawford	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Lady Russell	Sir Walter Elliot	Augusta Elton	Mrs. Cole	Mrs. Norris	Mrs. Price	Mrs. Thorpe	Lady Russell	Sir Walter Elliot	William Elliot	Lady Catherine de Bourgh	Anne Steele	Augusta Elton	Emma Woodhouse	Jane Fairfax	Philip Elton	Mary Crawford	Mrs. Norris	Isabella Thorpe	Mrs. Thorpe	Mrs. Clay	Lucy Steele	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
Mrs. Croft	Admiral Croft	Admiral Croft	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Admiral Croft	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Admiral Croft	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Admiral Croft	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove	Mr. Musgrove	Admiral Croft	Anne Elliot	Captain Benwick	Captain Harville	Charles Hayter	Charles Musgrove	Henrietta Musgrove	Louisa Musgrove	Mary Musgrove	Mrs. Musgrove
Mrs. Harville	Anna Weston	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates	Anna Weston	Augusta Elton	Emma Woodhouse	Frank Churchill	George Knightley	Harriet Smith	Isabella Knightley	Jane Fairfax	John Knightley	Miss Bates
